id;name_d;function_d;project_d
1;Monaco;virtual Pizza;discrete
2;static Utah;input;Open-architected synthesizing calculate
3;interfaces Garden;Bedfordshire info-mediaries Stream;connect Small transmit
4;Oklahoma multi-byte;web services Engineer;hack bluetooth
5;monitor;evolve Games;New York
6;Home Seamless;Automotive Lead;Cambridgeshire dynamic cross-platform
7;card Metical IB;Awesome Investment Account magnetic;invoice Digitized
8;Dynamic;deposit;Sharable
9;cyan Chips;Synchronised RSS;robust Interactions content-based
10;navigating collaboration Buckinghamshire;Jewelery;IB synergies Steel
