id;dr_name;rename;mask_file;directory;handlingtype
1;bluetooth Multi-tiered Refined Plastic Mouse;true;Chair parse;Plastic;Credit Card Account HDD French Polynesia
2;Analyst;true;Bedfordshire invoice;driver;CSS
3;matrix web-readiness Sausages;true;copy;Dam;Representative web services
4;sensor Identity;false;service-desk parse navigating;parsing Games;SAS Proactive
5;Moldova;false;withdrawal programming;red;Bedfordshire Tasty Wooden Keyboard Unbranded
6;grey Comoro Franc aggregate;true;Money Market Account;Hawaii Rustic;Borders
7;transform partnerships;true;Checking Account Refined Metal Chair azure;Interactions Devolved attitude;Applications
8;Bedfordshire navigating Group;false;black Associate Montana;e-business;optical zero tolerance SMS
9;neural-net;false;Ireland invoice;interface sensor Human;Handcrafted Wooden Fish Handmade Soft Shoes embrace
10;Ball Ergonomic Concrete Table salmon;true;Rubber;Isle of Man;Avon engage Managed
